ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl_pct,pnl_dollar,holding_days,exit_reason
BEN,2024-11-27,21.07,2024-12-03,20.81,1142541,-1.23,-297246.16,6,下穿68
ULTA,2024-12-03,395.3,2024-12-10,411.92,60156,4.2,999794.26,7,下穿68
GDDY,2024-12-10,204.85,2024-12-18,200.13,120963,-2.3,-570945.51,8,下穿68
BA,2024-12-19,177.04,2025-01-02,171.87,136740,-2.92,-706945.55,14,下穿68
TPR,2025-01-03,65.53,2025-01-14,66.41,358618,1.33,313259.96,11,下穿68
GL,2025-01-14,113.1,2025-02-06,118.99,210560,5.21,1240551.69,23,下穿68
MAA,2025-02-06,152.27,2025-02-12,149.36,164543,-1.91,-479463.48,6,下穿68
NI,2025-02-12,37.76,2025-03-05,38.59,650861,2.19,538390.94,21,下穿68
ERIE,2025-03-05,439.56,2025-03-12,411.95,57135,-6.28,-1577397.13,7,下穿68
HG=F,2025-03-13,4.9,2025-03-31,5.02,4804923,2.48,583798.22,18,下穿68
GL,2025-03-31,130.65,2025-04-03,126.73,184623,-3.0,-723473.92,3,下穿68
CNC,2025-04-03,64.29,2025-04-04,61.93,363932,-3.67,-858879.74,1,下穿68
UNH,2025-04-10,578.1,2025-04-17,441.66,38987,-23.6,-5319486.32,7,止损(20%)
HII,2025-04-17,215.46,2025-05-12,225.53,79917,4.67,804925.74,25,下穿68
LITE,2025-05-12,71.73,2025-05-30,72.28,251272,0.77,138198.45,18,下穿68
NRG,2025-05-30,154.61,2025-06-04,155.67,117470,0.69,124652.35,5,下穿68
BXP,2025-06-04,68.86,2025-06-17,69.35,265572,0.72,130930.04,13,下穿68
CL=F,2025-06-17,74.84,2025-06-23,68.51,246092,-8.46,-1557760.93,6,下穿68
SATS,2025-06-23,25.15,2025-07-14,29.91,670370,18.93,3190961.35,21,下穿68
HST,2025-07-14,16.0,2025-07-16,15.66,1253287,-2.12,-425319.36,2,下穿68
LITE,2025-07-16,99.63,2025-08-14,114.62,196983,15.05,2952776.25,29,下穿68
APA,2025-08-14,20.07,2025-08-20,19.93,1124847,-0.73,-165285.28,6,下穿68
SWKS,2025-08-20,72.71,2025-09-02,71.39,308232,-1.82,-408105.45,13,下穿68
LITE,2025-09-02,132.55,2025-09-24,152.75,166005,15.24,3352472.19,22,下穿68
UHS,2025-09-24,199.34,2025-10-09,201.24,127204,0.95,241255.93,15,下穿68
SNDK,2025-10-09,129.68,2025-10-10,116.91,197398,-9.85,-2520770.29,1,下穿68
COR,2025-10-10,316.94,2025-12-01,359.5,72815,13.43,3099677.31,52,下穿68
SI=F,2025-12-01,58.42,2025-12-31,70.13,448106,20.06,5250011.43,30,下穿68
AES,2026-01-02,14.65,2026-01-08,14.05,2145723,-4.05,-1272365.51,6,下穿68
ARE,2026-01-08,53.27,2026-01-28,54.61,566080,2.52,758547.29,20,下穿68
CL=F,2026-01-28,63.21,2026-02-02,62.14,489063,-1.69,-523297.26,5,下穿68
HAS,2026-02-02,93.2,2026-02-18,101.17,326085,8.55,2599731.27,16,下穿68
